x,y,z
1.42934,0.246107,0.797335
1.42934,0.246107,0.797335
1.42264,0.250791,0.797352
1.414,0.256088,0.797939
1.40438,0.262895,0.801323
1.39269,0.266169,0.804791
1.38256,0.271166,0.808951
1.37106,0.275654,0.814991
1.35837,0.280257,0.820222
1.34685,0.285521,0.824215
1.33415,0.292202,0.830567
1.32162,0.300415,0.836314
1.3087,0.306259,0.840876
1.29664,0.310865,0.843891
1.28466,0.316138,0.848446
1.27153,0.322219,0.852897
1.25535,0.328389,0.856093
1.23946,0.335344,0.858876
1.22332,0.342734,0.859443
1.20827,0.350747,0.861161
1.19348,0.358526,0.863549
1.18051,0.364315,0.866462
1.16711,0.371297,0.870596
1.15377,0.379957,0.87399
1.14153,0.386226,0.877294
1.13021,0.393377,0.876763
1.11794,0.399158,0.878863
1.10704,0.405949,0.879165
1.09522,0.412816,0.880087
1.08502,0.418502,0.878436
1.07527,0.424976,0.877432
1.06688,0.430435,0.876013
1.06029,0.436368,0.874314
1.05285,0.442971,0.872144
1.04604,0.450444,0.868698
1.04078,0.456104,0.866821
1.03572,0.462067,0.862974
1.03158,0.467591,0.860406
1.02791,0.471726,0.858412
1.02398,0.47655,0.856566
1.02043,0.480819,0.853444
1.01695,0.482785,0.850971
1.01361,0.485644,0.848996
1.01059,0.49025,0.845359
1.00894,0.493681,0.84157
1.00617,0.495796,0.838704
1.00262,0.496616,0.837938
0.999994,0.497471,0.83483
0.999288,0.497936,0.831858
0.998328,0.49868,0.828171
0.998347,0.499738,0.825737
0.997007,0.500247,0.823277
1.00096,0.49741,0.824388
1.00377,0.495743,0.823581
1.00535,0.494739,0.822101
1.00598,0.494216,0.821984
1.00672,0.494434,0.821663
1.00567,0.495136,0.8201
1.00717,0.495262,0.818527
1.00719,0.495024,0.816074
1.00578,0.495256,0.81487
1.00565,0.494524,0.813624
1.00534,0.494491,0.812313
1.00487,0.493294,0.8109
1.00529,0.493097,0.80881
1.00566,0.492713,0.806999
1.00493,0.492226,0.805528
1.00511,0.491414,0.803666
1.00642,0.491084,0.802715
1.0056,0.490301,0.801962
1.00649,0.490086,0.801571
1.00645,0.489669,0.800837
1.00656,0.489371,0.800321
1.00723,0.489012,0.799859
1.00828,0.488407,0.799978
1.0086,0.488493,0.79943
1.0081,0.488924,0.79896
1.00843,0.48792,0.798596
1.0079,0.487371,0.798785
1.00836,0.48592,0.799177
1.0099,0.485363,0.799472
1.01059,0.485518,0.800277
1.01015,0.486266,0.799896
1.01019,0.485875,0.799475
1.01106,0.485086,0.79974
1.0116,0.484743,0.799832
1.01278,0.484791,0.800386
1.01367,0.484556,0.801151
1.01418,0.484844,0.80051
1.01498,0.485036,0.800796
1.24378,0.172652,0.855227
1.24378,0.172652,0.855227
1.2427,0.173994,0.855176
1.24173,0.177359,0.854548
1.24002,0.180308,0.854412
1.2369,0.182278,0.855686
1.23339,0.184389,0.856448
1.23077,0.189252,0.85617
1.22766,0.195119,0.854344
1.22402,0.198277,0.854873
1.21998,0.202338,0.854859
1.21536,0.205191,0.854816
1.21099,0.209854,0.852187
1.20574,0.213386,0.851874
1.20155,0.215422,0.854096
1.19832,0.221913,0.853717
1.19364,0.227869,0.851617
1.18887,0.234067,0.84854
1.18295,0.240938,0.848986
1.1777,0.244436,0.851099
1.1729,0.24939,0.851846
1.16668,0.255979,0.852613
1.16151,0.261764,0.853263
1.15557,0.268368,0.854389
1.15033,0.275999,0.855781
1.1448,0.281348,0.857305
1.13966,0.28645,0.858845
1.13522,0.291463,0.859294
1.13059,0.297899,0.858339
1.12633,0.302061,0.859022
1.12334,0.308046,0.858004
1.12098,0.31364,0.859949
1.11697,0.317499,0.857696
1.11318,0.324063,0.857946
1.10741,0.328579,0.858419
1.10283,0.334747,0.857844
1.09911,0.338876,0.856975
1.09616,0.344816,0.856517
1.0938,0.350288,0.854068
1.091,0.353103,0.853611
1.08921,0.3576,0.851947
1.0845,0.366907,0.849389
1.08062,0.371935,0.849447
1.07734,0.377478,0.848327
1.07373,0.383186,0.847173
1.06952,0.388918,0.848317
1.06583,0.394675,0.84741
1.06075,0.400814,0.846976
1.05677,0.406684,0.846665
1.05192,0.412959,0.847619
1.04849,0.419424,0.847657
1.0443,0.423181,0.849226
1.03974,0.429063,0.847237
1.03563,0.4334,0.845412
1.03145,0.437477,0.847229
1.02738,0.441506,0.847101
1.0233,0.446458,0.845885
1.02034,0.451362,0.845044
1.01721,0.454151,0.844776
1.01439,0.456705,0.844633
1.01155,0.459793,0.846247
1.00919,0.462373,0.84434
1.00666,0.46444,0.842245
1.00526,0.465809,0.84175
1.00359,0.467908,0.839711
1.002,0.469094,0.839146
1.00034,0.471162,0.838516
0.998535,0.474897,0.836675
0.997004,0.476296,0.833737
0.994586,0.478464,0.829924
0.993555,0.480562,0.826819
0.993744,0.482228,0.825335
0.993806,0.483592,0.823013
0.997739,0.482754,0.822124
1.00023,0.482845,0.822043
1.00032,0.483896,0.820108
0.99883,0.487432,0.816833
1.00256,0.485316,0.816414
1.00488,0.483043,0.816676
1.00718,0.4812,0.816588
1.0083,0.479877,0.816237
1.00893,0.479178,0.815221
1.00847,0.478212,0.814332
1.008,0.478167,0.812835
1.009,0.477793,0.812373
1.00888,0.477953,0.812084
1.00954,0.478127,0.811964
1.00936,0.478326,0.811362
1.0082,0.47766,0.811185
1.00814,0.477467,0.810192
1.27981,0.168326,0.812983
1.27981,0.168326,0.812983
1.27424,0.1717,0.813568
1.26801,0.174616,0.81469
1.26199,0.179599,0.817082
